,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
17,Data Science & Analytics,V Konnect ,Mumbai,The role is expected to use analytical tools to identify opportunities to grow overall ...,15-18 Yrs," advanced analytics, Regulatory reporting, Underwriting, Analytical, Business analytics, Artificial Intelligence, Machine learning, Business strategy",https://www.naukri.com/job-listings-data-science-analytics-v-konnect-associates-mumbai-15-to-18-years-171122500887
18,Lead / Team Lead - Data Science - R/ Python/ Hive/ Spark,Info Corporate Service,Mumbai,Experience creating and using advanced machine learning algorithms and statistics: regr...,4-8 Yrs," Data Science, R, Python, CNN, SDE, Keras, LSTM, ggplot2",https://www.naukri.com/job-listings-lead-team-lead-data-science-r-python-hive-spark-info-corporate-service-mumbai-4-to-8-years-211122907746
19,Urgently looking For Data Science/ BI Analytics - Top Brand - Mumbai,Smart Source,Hybrid,"Experience in creating reports, dashboards, and stories in Tableau Good analytical unde...",4-9 Yrs," Data Science, Predictive Modeling, R, python, BI, neural networks, segmentation, logistic regression",https://www.naukri.com/job-listings-urgently-looking-for-data-science-bi-analytics-top-brand-mumbai-smart-source-mumbai-all-areas-4-to-9-years-241122006379
20,Head - Data Science & Analytics - Bank,Dimensions HRD Consultants,Gurgaon,Graduate / Post Graduate in Statistics / Economics / Engineering from premier college /...,12-16 Yrs," Data Science, Data Management, Analytics, Big Data, Data Mining, Data Modeling, Machine Learning",https://www.naukri.com/job-listings-head-data-science-analytics-bank-dimensions-hrd-consultants-gurgaon-gurugram-12-to-16-years-211122905301
21,Data Science Professional,GHARONDAA ADVISORS PVT LTD,Noida,"Good coding skills in front end, back end and other data layersExperience with CI / CD ...",5-10 Yrs," Data Science, deep learning, algorithms, front end, AI/ML, CI/CD, artificial intelligence",https://www.naukri.com/job-listings-data-science-professional-gharondaa-advisors-pvt-ltd-noida-5-to-10-years-011222912499
22,Lead- Data Science,Jardine Lloyd Thompson,Pune,Source data from disparate systems with good understanding of Qlik/ other BI tool archi...,3-6 Yrs," Payroll, Claims, data science, Coding, SSRS, Stored procedures, Risk management, Apache",https://www.naukri.com/job-listings-lead-data-science-jardine-lloyd-thompson-india-pvt-ltd-pune-3-to-6-years-011222501565
23,Data Science,GHARONDAA ADVISORS PVT LTD,Noida,Skillset Required : Implementing end to end data pipelines for serving reporting and da...,5-10 Yrs," Data Science, communication, CI / CD, CD, CI, AI, Order to Cash, Deep Learning",https://www.naukri.com/job-listings-data-science-gharondaa-advisors-pvt-ltd-noida-5-to-10-years-021222909628
24,Data Science Architect - ML / Data Mining,HyrEzy Talent Solutions,Gurgaon,"Job Role - Data Science ArchitectResponsibilities :- Analyze raw data, assessing qualit...",5-10 Yrs," Data Science, Power BI, Teradata, Data mining, Machine Learning, Deep Learning, Hortonworks, MapReduce",https://www.naukri.com/job-listings-data-science-architect-ml-data-mining-hyrezy-talent-solutions-gurgaon-gurugram-5-to-10-years-311022903019
25,Data Science Professional,Infosys,Bangalore,Bachelor of Engineering Good verbal & written communication skills articulate value of ...,4-8 Yrs," Data Science, Bigdata, Azure, written communication, Artificial Intelligence, GCP, >NLP Deep Learning, R",https://www.naukri.com/job-listings-data-science-professional-infosys-limited-bangalore-bengaluru-4-to-8-years-171122914168
26,ACN - Applied Intelligence - Finance - Data Science - 09,Accenture,Bangalore,Preferred Educational Background PhD / Masters / Bachelors degree in Statistics / Econo...,3-5 Yrs," Data analysis, Machine learning, Healthcare, SDK, Analytics, Publishing, Analytical, Vulnerability assessment",https://www.naukri.com/job-listings-acn-applied-intelligence-finance-data-science-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-3-to-5-years-221122905706
27,Manager Data Science,Visa,Bangalore,"Experience planning, organizing, and managing multiple large projects with diverse cros...",6-11 Yrs," Automation, SAS, Campaign management, Risk analytics, Analytical, Consulting, Market intelligence, Business intelligence",https://www.naukri.com/job-listings-manager-data-science-visa-inc-bangalore-bengaluru-6-to-11-years-241122501198
28,"Assistant Manager - Data Science, Need Immediate Joiners",Citiustech,Multiple,"Work with OMICs, image, med device and RWE data to power various use cases in the areas...",5-10 Yrs," Data Science, NLP, Machine Learning, Python, Analytical, Data Modelling, R, Model Building",https://www.naukri.com/job-listings-assistant-manager-data-science-need-immediate-joiners-citiustech-pune-gurgaon-gurugram-bangalore-bengaluru-mumbai-all-areas-5-to-10-years-010822004921
29,Senior Data Analyst - Data Science and Intelligence,Nippon Life India Asset Management Limited,Multiple,"Bachelors degree in Computer Science, a related technical field, or equivalent practica...",7-12 Yrs," data science, python, data analysis, scala, sql",https://www.naukri.com/job-listings-senior-data-analyst-data-science-and-intelligence-nippon-life-india-asset-management-limited-mumbai-suburban-thane-navi-mumbai-mumbai-all-areas-7-to-12-years-171122011669
30,Data Science Trainee,Medtoureasy,Remote,This program will help anyone interested in pursuing a career in data science or machin...,0-1 Yrs," Data analysis, PDF, data science, Machine learning, Healthcare, data visualization, Budgeting, industrial training",https://www.naukri.com/job-listings-data-science-trainee-medtoureasy-remote-0-to-1-years-211122500264
31,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,Delhi NCR,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,10-15 Yrs," Data Science, R, Artificial Intelligence, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-10-to-15-years-181122910051
32,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,Delhi NCR,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs," Data Science, R, Artificial Intelligence, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-2-to-7-years-181122910046
33,"Software Trainees in Data Science, Data Analytics, .Net, Java, J2EE",MagicBase Royal BD Pvt Ltd  ,Bangalore,Only candidates who are available to work full time for a duration of at least 12 month...,0-1 Yrs," data analytics, Machine Learning, Python, IT Skills, Java, J2EE, Data Science, Big Data",https://www.naukri.com/job-listings-software-trainees-in-data-science-data-analytics-net-java-j2ee-magicbase-royal-bd-pvt-ltd-bangalore-bengaluru-0-to-1-years-101122005602
34,HEOR Data Analyst Role - SAS/SQL - Life Sciences,Huquo Consulting,Noida,Problem solving skills and experience constructing analytic solutions to business probl...,4-9 Yrs," SAS, Data Visualization, Data Analytics, Analytics, SQL, Data Management, Tableau, Statistics",https://www.naukri.com/job-listings-heor-data-analyst-role-sas-sql-life-sciences-huquo-consulting-noida-4-to-9-years-301122906453
